image_id,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,EfficientNet,SwAV
8061,0.14051207288028536,0.1317233026773406,99.59919839679358,99.89979959919839,99.29859719438878,99.79959919839679,0.6552899768333813,0.2941854068699473
8215,0.0627674448646382,0.2338865048570461,66.53306613226454,67.83567134268536,92.78557114228457,47.19438877755511,0.9256791598537262,0.6083154516468908
8234,-0.06191764468479593,0.34978749316741875,52.60521042084168,85.87174348697394,95.19038076152304,59.91983967935872,0.8983236602327814,0.5598585636915239
8238,0.3319594288483937,0.41737093653281987,90.28056112224448,84.06813627254509,71.14228456913827,51.10220440881763,0.9436420269182557,0.6084968682289875
8275,0.07240400019642525,0.4128281503552653,48.99799599198397,40.480961923847694,23.547094188376754,79.25851703406815,0.8972753587852285,0.6282698066520573
8367,0.2018275316935197,0.4355100902731022,84.76953907815631,92.68537074148296,86.57314629258516,96.79358717434869,0.9122415099848113,0.41706659907904414
8828,-0.04912892428075731,0.30975270770399316,42.18436873747495,56.71342685370742,51.30260521042084,93.88777555110221,0.9596478627588187,0.5723557750525607
8862,-0.02384706737929736,0.39957767290337365,55.71142284569139,81.36272545090179,36.172344689378754,27.855711422845687,1.0728404276491674,0.7067041124790174
8926,0.16240948524718057,0.18018565302607192,85.97194388777555,78.15631262525051,69.13827655310621,37.675350701402806,0.9093097588971865,0.6424378165402528
9188,0.06214602982926051,0.426257824731599,53.1062124248497,94.58917835671343,96.49298597194388,97.89579158316633,0.782910805613485,0.3857268328002304
9298,0.1412362401013993,0.25212626273199445,92.68537074148296,95.59118236472946,47.59519038076152,98.99799599198397,0.8584518185674628,0.45842577466719686
9376,0.12239854307042303,0.6342866745691131,92.78557114228457,98.79759519038076,98.19639278557113,96.9939879759519,0.4419563527885366,0.22970956236622492
9712,-0.22410026116649923,0.17237574117337745,38.77755511022044,54.709418837675344,53.607214428857716,48.69739478957916,0.9876744722296626,0.6613978200935966
9877,0.01725133063857042,0.40155449865178594,92.48496993987976,99.89979959919839,57.81563126252505,99.09819639278558,0.8091175560152879,0.4558029399676502
10115,0.23971995728818618,0.46383348176505135,82.46492985971943,60.72144288577154,62.72545090180361,51.80360721442886,1.0217512280041965,0.762044136907409
10191,0.07542000833376797,0.6274256854438688,71.7434869739479,90.78156312625251,98.99799599198397,99.6993987975952,0.4865669334075702,0.33839235015247465
10361,0.04654693943870141,0.19090025301757635,41.18236472945892,86.87374749498998,84.5691382765531,13.727454909819638,1.0167682884112157,0.6955700122830064
10602,0.29530446994243686,0.23485605365447723,65.83166332665331,91.88376753507015,97.09418837675351,98.29659318637275,0.8064676623356893,0.5057557779886541
10622,-0.08811610396388728,0.33395679934796973,94.48897795591182,82.56513026052104,36.77354709418837,48.49699398797595,1.025709961304657,0.7193289495090256
11050,0.03934297561428375,0.26645737760345417,62.2244488977956,80.26052104208418,59.21843687374749,65.03006012024048,0.9262862538581906,0.5530090526970097
11274,0.32716858559145734,0.3304827189760715,75.55110220440882,82.26452905811624,81.4629258517034,51.80360721442886,0.9763343036771122,0.5061242669464228
11493,-0.03221037707225825,0.23591993091912944,31.763527054108216,77.75551102204409,57.114228456913835,53.2064128256513,0.947054523847585,0.6413023027774711
11757,0.12727889180957952,0.1454012369535887,66.43286573146293,83.56713426853707,65.33066132264528,39.77955911823647,0.9868238507757744,0.6614810072020831
11886,0.2677354622708905,0.3794662658350732,92.88577154308618,95.29058116232466,91.38276553106212,97.39478957915831,0.8752257785777044,0.35736952593510385
12122,0.034206213109904834,0.26770250383784217,73.54709418837675,97.1943887775551,97.1943887775551,37.274549098196395,0.7221287073129926,0.4506221149203495
12225,0.08216837303810286,0.3844006069863434,58.91783567134269,87.07414829659318,52.70541082164329,58.91783567134269,1.0154539342362487,0.5633842725512876
12292,0.10094766968177946,0.273769785387327,78.0561122244489,86.47294589178358,87.875751503006,27.15430861723447,0.9503274999384084,0.4825399704271291
12340,0.09767478326863495,0.5529460187576326,88.17635270541082,80.56112224448898,61.82364729458918,64.42885771543087,0.9571756537221127,0.5596629284288999
12386,0.05984164696898257,0.20906545135661073,64.12825651302606,97.49498997995991,65.23046092184369,96.8937875751503,0.9325051175984218,0.6338435607433404
12597,-0.03547579958695309,0.1407904522050279,30.66132264529058,64.32865731462925,83.96793587174349,67.03406813627254,1.044914442437546,0.77719688154769
13041,0.07185587098641621,0.32772535763485994,36.07214428857716,75.85170340681363,26.65330661322645,85.67134268537075,0.9455229368389415,0.5787444958053247
13134,-0.13064924729112976,0.3293539442223577,89.97995991983967,94.68937875751503,74.34869739478958,93.687374749499,1.0095701515374027,0.5459302250002726
13223,0.4311736688330764,0.3393272324544997,82.36472945891784,78.55711422845691,62.124248496993985,58.51703406813627,0.9230894933613487,0.46559637672033755
13298,-0.136102212871804,0.2155636553548907,49.699398797595194,63.12625250501002,66.13226452905812,71.7434869739479,0.9559300109064752,0.6020113002882572
13587,-0.08059201496439485,0.2700420131503135,11.22244488977956,14.228456913827653,53.807615230460925,67.03406813627255,1.0187396837623073,0.5983003990793184
13703,-0.22772722067965212,0.37031850760024954,26.95390781563126,52.50501002004008,89.87975951903807,91.58316633266533,0.7853359003026861,0.5466392678872615
13741,-0.0007616691809644235,0.3565117697440254,85.47094188376754,88.07615230460922,90.38076152304609,98.49699398797596,0.5701217228315396,0.3991501387925559
13749,-0.11466506913554739,0.1707276373633681,79.05811623246493,85.07014028056113,90.5811623246493,34.168336673346694,0.9483041554098433,0.6549839431811812
13826,-0.06276143711877262,0.4165212759746071,26.052104208416832,66.13226452905812,65.7314629258517,69.33867735470942,0.99615463154276,0.6392388705145104
13842,0.13895748905501823,0.4182628454262485,68.23647294589179,94.58917835671343,93.7875751503006,86.47294589178357,0.9012181096411923,0.43952928828420884
13879,0.09645091034622856,0.22828057828213688,88.67735470941884,97.49498997995991,74.24849699398797,34.06813627254509,0.7669640702604423,0.4395421214000208
13895,-0.09588229769112977,0.14553137465447583,64.02805611222445,62.72545090180361,16.83366733466934,59.819639278557105,1.0295646853217437,0.5759416571092306
13938,0.2715531966413183,0.49555555068131246,93.7875751503006,98.79759519038076,94.88977955911824,99.79959919839679,0.5865169280529324,0.36261136850151926
14049,-0.06756718232877944,0.39554008734259327,26.653306613226455,27.555110220440877,21.142284569138276,81.66332665330661,1.016109782460266,0.8079655121418061
14170,0.17330582302076916,0.40281457388285175,75.5511022044088,98.29659318637275,94.68937875751503,93.88777555110221,0.7437762138762793,0.48140352163375416
14245,0.02953971523595443,0.5301832398460771,93.08617234468937,98.99799599198397,98.99799599198397,99.59919839679358,0.48884059285258635,0.3359366361603149
14274,0.08227467002685523,0.24714105705802425,38.57715430861724,46.192384769539075,52.60521042084168,55.21042084168337,0.9547900444348141,0.633419939980913
14728,0.05149532265995443,0.09653505824262562,55.41082164328657,82.36472945891784,28.45691382765531,48.89779559118236,1.0185048886241348,0.7239933333489147
15068,0.06248732887698551,0.38236002694405397,25.350701402805612,52.20440881763527,28.857715430861724,86.87374749498997,1.0040967710866182,0.7131386838314108
15181,-0.007999700019918276,0.16597154749510712,57.414829659318634,72.94589178356713,88.27655310621242,99.09819639278558,0.90623835796829,0.7283246403075441
15182,0.1821102694554336,0.34709658013334965,82.96593186372746,95.19038076152304,92.58517034068137,92.88577154308618,0.75176698561356,0.47696715873928747
15191,0.12013882935608974,0.13518562664043943,78.65731462925852,95.29058116232466,92.48496993987976,92.58517034068137,0.889817303939951,0.5725631251052489
15274,0.15462947370258978,0.3057429995116373,69.23847695390782,97.1943887775551,78.2565130260521,96.19238476953907,0.7360872554973649,0.4912848008748485
15386,0.060191489880689425,0.11178140797427583,81.4629258517034,85.37074148296594,99.19839679358716,31.563126252505008,0.9550901955702283,0.7240062076057898
15438,-0.010694862607917001,0.4011919308557961,70.44088176352705,97.49498997995991,92.98597194388779,59.91983967935872,0.8369078964810571,0.398166279261913
15516,0.01874554336211584,0.40902464427455193,53.006012024048104,95.99198396793588,92.38476953907815,76.55310621242485,0.8784927537665714,0.48531617166909286
15631,0.0910706225273609,0.32672156047208123,64.32865731462925,81.66332665330661,60.22044088176353,93.58717434869739,0.8969106443796597,0.5643949868616007
15632,0.015366232846197854,0.2876880845730291,90.9819639278557,78.0561122244489,62.42484969939879,70.84168336673346,0.9759364129389234,0.6692155374040389
15865,-0.03301774515136735,0.20732481222781246,53.90781563126252,95.89178356713427,91.58316633266533,88.27655310621242,0.9193232616622227,0.6939785760347792
15898,-0.06679858624379423,0.16523977141753599,82.26452905811624,90.38076152304609,90.08016032064128,51.80360721442885,0.9244658705590498,0.6785039217463438
15953,0.012717742433898095,0.0721508891303917,50.40080160320641,42.88577154308618,60.120240480961925,95.29058116232466,0.9741711695866605,0.6304104909606247
15985,0.19470225721155823,0.7139925504632139,65.83166332665331,76.55310621242485,96.39278557114227,94.98997995991985,0.4264491867526943,0.3184379263876013
16251,0.05762486519307604,0.6851111052691954,33.86773547094188,72.64529058116233,96.9939879759519,97.79559118236472,0.6778606951027899,0.4550416798576674
16424,0.08760941420278415,0.28547987769557825,60.72144288577154,38.77755511022044,47.09418837675351,25.751503006012022,1.0112342642326775,0.6491096964187111
16525,-0.01823476097324149,0.20593881469462777,84.5691382765531,46.593186372745485,68.13627254509018,68.23647294589179,0.9182862826404945,0.5896008581417851
16625,0.06507571078819052,0.3515378440105425,43.587174348697395,70.54108216432866,86.97394789579158,93.88777555110221,0.951907455059864,0.5703611774559098
16718,0.05653340321637683,0.2996533222811802,85.97194388777555,98.29659318637275,98.09619238476952,20.741482965931862,0.7603554134072379,0.4615563132892151
16800,-0.017540348904745998,0.394245346096852,31.96392785571142,48.79759519038076,87.17434869739479,49.19839679358717,0.9886199607429311,0.5791622983485967
17017,-0.10653182523370257,0.2951953268847747,74.64929859719439,78.75751503006012,90.6813627254509,67.93587174348698,0.81820944575042,0.5398896319215043
17605,0.036356170805419474,0.41188669061569383,57.61523046092184,63.72745490981964,67.83567134268537,73.44689378757515,0.8800464210063167,0.5332417972669911
17651,0.03895806944177513,0.29722160130775443,86.17234468937876,84.5691382765531,99.09819639278557,95.09018036072143,0.7426954323298115,0.45472928178157435
17795,-0.2712719871959003,0.45606394545371276,68.93787575150301,69.83967935871743,97.29458917835672,93.28657314629258,0.5732286112466491,0.389685850632849
17843,-0.051270962797323086,0.503268068237435,64.22845691382764,68.7374749498998,89.27855711422845,72.14428857715431,0.9469959717150407,0.5382415397288035
17865,0.3811996687434752,0.6418065621025919,89.77955911823648,93.48697394789579,88.97795591182364,47.89579158316633,0.7137438069318014,0.4277163503705249
17946,0.08656698474916454,0.191660024657848,82.66533066132264,83.06613226452906,66.13226452905812,64.42885771543087,1.0019482959484307,0.6198281872167227
17987,0.01930408961285353,0.2154438932808228,62.72545090180361,96.09218436873748,98.39679358717434,99.09819639278557,0.8763941388061891,0.35854051865376113
18115,-0.10928013361869907,0.47210005833360474,22.84569138276553,27.85571142284569,30.160320641282567,93.58717434869739,0.9798516805459554,0.674664386868215
18159,-0.08115621045394933,0.32488285615491574,8.316633266533067,70.44088176352706,50.90180360721443,83.46693386773546,0.9494779744607017,0.698047367020666
18170,-0.05853455142146963,0.27371872716590195,72.64529058116233,85.27054108216433,89.07815631262525,86.17234468937875,0.8021458124446423,0.4893386112136469
18556,-0.219937065648816,0.3102910708937967,57.31462925851703,99.29859719438878,98.19639278557113,96.8937875751503,0.741170167324664,0.44173026128168613
18888,-0.08948721436626345,0.20876062792217073,65.03006012024048,95.99198396793588,67.33466933867734,55.71142284569138,0.8404065603821603,0.48281069452011804
18960,-0.11820134988393517,0.26790329228938636,53.00601202404809,33.76753507014028,49.699398797595194,52.40480961923848,1.0437970280567148,0.6118472573852229
19331,0.2658145350050189,0.325173313514489,35.47094188376753,85.57114228456913,81.76352705410821,77.55511022044088,0.9482988649904375,0.5299866720369455
19471,-0.09316028895558914,0.1714421282627936,74.84969939879758,58.91783567134269,41.38276553106213,29.05811623246493,0.9733550852035423,0.7029852498710549
19593,-0.07290807541171447,0.16185143203605454,41.18236472945892,66.93386773547094,79.65931863727455,39.478957915831664,0.9585496219594146,0.7717903985726993
19605,-0.053758229217215105,0.12724419308493487,64.62925851703406,87.07414829659318,63.42685370741483,77.45490981963928,0.9665115539290892,0.6252612659797601
20013,-0.005056260886117794,0.27971394306910924,58.81763527054109,58.61723446893788,33.767535070140276,58.81763527054108,0.9862074241878989,0.561601305027084
20072,0.026175128734788514,0.345753495686839,83.06613226452906,88.77755511022045,98.09619238476954,97.39478957915831,0.6100600335219356,0.39979054222576804
20317,0.0023469335163141536,0.2016600446634826,53.807615230460925,80.96192384769539,83.16633266533066,94.18837675350701,0.927164879974079,0.6398529632204808
20380,-0.03210311337215013,0.2466825132967086,71.34268537074148,85.77154308617234,58.016032064128254,49.79959919839679,0.8984621650662525,0.6519862509333954
20520,0.036270521120794916,0.28633385431432756,63.72745490981964,62.424849699398806,83.96793587174349,96.8937875751503,0.7746027745320109,0.5092524243271438
20545,-0.023029858894267938,0.4163836918030823,34.76953907815631,57.71543086172345,80.96192384769539,95.19038076152304,0.7563438615308349,0.5847773577092245
20863,0.2928137629402935,0.20955331056833693,99.59919839679358,99.39879759519039,96.79358717434869,98.69739478957916,0.7325127377528259,0.4786657287109666
20882,0.09850733197097424,0.5385305850715173,97.39478957915831,98.99799599198397,96.8937875751503,98.99799599198397,0.5589479903609725,0.41032063989976436
20904,-0.022618702391600277,0.13343249943820895,17.635270541082164,78.3567134268537,24.849699398797597,88.47695390781564,0.9300773619446578,0.7166114161396049
21295,0.23937521377122395,0.5403956938763367,92.68537074148296,97.1943887775551,97.69539078156312,92.08416833667334,0.6850254560140698,0.37184181694157825
21414,-0.20918081821500617,0.2847827898812778,92.58517034068136,96.19238476953907,99.49899799599199,100.0,0.6664272540786567,0.39646352165691934
21436,0.3770557480810012,0.2528086223193182,84.2685370741483,91.78356713426854,75.75150300601203,88.17635270541084,0.7386493939616962,0.4935458076195104
21558,-0.02872677858847487,0.4141692030095667,86.07214428857716,82.26452905811624,96.59318637274549,68.5370741482966,0.8217925043693313,0.5081398853403825
21887,0.16794961030951217,0.2365776271440731,90.08016032064128,97.1943887775551,85.87174348697394,98.09619238476954,0.9131512851494079,0.5158078902984402
22215,0.053091619759361004,0.31401312253333774,66.03206412825651,20.541082164328657,54.30861723446894,27.95591182364729,0.9863491283460777,0.6598216607720999
22299,0.004088016904611802,0.5559011235818905,75.250501002004,88.37675350701403,96.8937875751503,96.39278557114228,0.29862278974486867,0.32616966520859714
22303,-0.02362341497512179,0.21067800286155103,84.2685370741483,86.07214428857716,43.28657314629258,16.83366733466934,1.0532269855214227,0.5860918201200485
22452,-0.08456680249520514,0.17936047866865928,55.9118236472946,76.45290581162325,42.28456913827655,48.99799599198397,1.0230440226651827,0.5581862444931702
22793,0.1415340492505946,0.2380480180989337,91.08216432865731,88.07615230460922,85.77154308617233,97.39478957915831,0.7942519140041273,0.5880449827436993
22803,-0.05865359150639126,0.07165548372366635,31.062124248496993,82.16432865731463,71.9438877755511,56.11222444889779,0.9889460851842298,0.5945965402886708
22924,0.045274537286407596,0.6703303074782436,88.37675350701403,95.49098196392785,87.07414829659318,81.66332665330661,0.9070944417828821,0.4688552496495226
23314,0.10418171679700763,0.2576339790698222,48.697394789579164,87.27454909819639,82.56513026052104,72.1442885771543,0.9371474639454611,0.49940152658027104
23445,0.14738929612425314,0.38248137685030925,87.17434869739479,94.68937875751503,96.79358717434869,97.49498997995991,0.7171982594719664,0.4719034750599029
23479,0.05730943325047486,0.2869113996161902,56.813627254509015,59.21843687374749,98.19639278557113,78.15631262525051,0.815335644866066,0.5833639737134307
23623,0.06365388903241818,0.20362755306951197,78.3567134268537,86.87374749498997,73.74749498997996,63.627254509018044,0.8821759280385508,0.4760789951300203
23633,-0.049616082026772916,0.2240268403325499,44.88977955911824,29.559118236472944,63.82765531062124,79.45891783567134,0.9263882171838573,0.609308515293614
23642,0.09427474383572476,0.4594394360133859,50.501002004008015,87.77555110220442,98.59719438877755,86.67334669338678,0.862261549375047,0.5811652968401628
23803,-0.007420144570765005,0.4107512335835594,59.21843687374749,85.37074148296594,89.17835671342685,91.58316633266534,0.7762311969091902,0.4987369492056621
24062,-0.03181845353011142,0.20453292094349068,72.94589178356713,77.95591182364728,91.38276553106212,53.90781563126253,0.9834490630590647,0.5566211432802378
24103,0.02230638858837028,0.23366751087768872,48.496993987975955,44.98997995991984,55.01002004008016,44.78957915831663,1.019371894068414,0.7300377382027718
24306,-0.220414931148598,0.3657943568853519,18.737474949899802,72.64529058116233,21.04208416833667,87.97595190380761,0.9828033874963539,0.610184441328342
24700,-0.18494520259094166,0.4982953820344589,73.14629258517033,57.71543086172345,58.31663326653307,24.148296593186373,0.9518285532875235,0.6510396668948368
24790,0.037571048214055706,0.33380488094115773,67.03406813627254,41.58316633266533,59.91983967935872,96.19238476953907,0.9145827301639695,0.6151531980042706
25150,0.15295490485291144,0.3561518169674257,93.5871743486974,99.59919839679358,99.09819639278557,98.69739478957916,0.7123367545235963,0.4501297635818748
25166,-0.21187536011989658,0.5845469478901906,44.08817635270541,71.9438877755511,76.55310621242485,29.05811623246493,1.0053402490238041,0.5867803285318385
25339,0.15107911763933243,0.36965361511330497,89.87975951903807,89.67935871743487,83.06613226452906,64.52905811623246,0.8012496812891858,0.655966117558054
25360,0.031436441254028384,0.20800175151294237,90.28056112224449,56.813627254509015,50.701402805611224,93.58717434869739,1.017516992075446,0.6698280996606418
25374,-0.07410455704682277,0.4799852672176763,74.04809619238478,48.99799599198397,46.993987975951896,38.37675350701403,0.9937357417349839,0.6301015758889379
25447,-0.11337755317355638,0.2623986125263695,3.106212424849699,9.318637274549099,68.23647294589179,38.07615230460922,1.0668835874426148,0.7595357245233355
26070,0.09269781796898241,0.1730990523575534,97.49498997995991,96.59318637274549,77.75551102204409,35.170340681362724,0.9380604070491783,0.558540024262402
26146,-0.06633797247901324,0.1696002860491664,12.424849699398798,34.66933867735471,92.18436873747495,99.09819639278557,0.7314527504965618,0.6482440016455231
26419,-0.07423889591444437,0.38062771619510405,77.9559118236473,95.99198396793588,57.41482965931864,94.68937875751503,0.9652311036732255,0.613978625605383
26519,-0.041458656813761756,0.23378051522787616,32.46492985971944,72.74549098196393,99.79959919839679,96.8937875751503,0.6756519691839366,0.4640879238396784
26535,-0.03490839639696792,0.4634133969676223,29.158316633266534,69.13827655310621,71.54308617234469,83.06613226452906,0.9114624882611204,0.63108723710109
26749,-0.243753407105537,0.5847938980776237,84.86973947895791,85.57114228456913,82.26452905811624,77.8557114228457,1.011825260797838,0.4392985380507513
27131,-0.08691352455294592,0.17912098824202022,75.65130260521042,86.67334669338678,77.75551102204409,55.611222444889776,0.7834520628309181,0.44099689854106977
27196,-0.08886867415686753,0.2929106389654593,82.46492985971943,96.8937875751503,78.95791583166333,73.84769539078157,0.8657824836579237,0.523252531861125
27240,0.062307760471087936,0.2839255539635065,76.75350701402806,44.68937875751503,57.11422845691382,98.89779559118236,0.9478202667396389,0.6479124298642195
27260,0.030670770286607613,0.36089863790005905,27.75551102204409,70.14028056112224,94.38877755511021,88.07615230460922,0.9230560136380304,0.5753634091291289
27648,0.1222835052596893,0.2009146123565395,72.4448897795591,53.0060120240481,99.49899799599199,93.58717434869739,0.7859553382870523,0.48745659683005077
27688,-0.19449931641083767,0.07249621055994995,27.55511022044088,62.424849699398806,46.392785571142284,51.50300601202405,1.0107477253793395,0.6573524603097881
27781,-0.02943530735686617,0.34710829734228155,13.627254509018035,25.95190380761523,64.02805611222445,42.58517034068136,1.0344059952082203,0.6231837573707713
28157,0.0052768609228202625,0.36102094661068834,74.14829659318637,42.48496993987976,13.126252505010019,63.52705410821643,0.9545804770083238,0.6896665208527478
28253,0.37296055584214005,0.22914201085614327,50.20040080160321,79.75951903807615,76.85370741482967,79.85971943887776,0.9877658870059993,0.5918955248392856
28276,0.401933844848066,0.33639467465082673,99.19839679358716,97.39478957915831,66.23246492985972,92.68537074148296,0.6575704613309815,0.3424998903147997
28309,-0.026075718670752975,0.5052457232018495,37.374749498998,45.89178356713427,12.324649298597194,55.91182364729458,1.0002593194360552,0.6032776923454659
28511,0.1578652033498588,0.4454574422490942,69.93987975951904,83.46693386773548,73.64729458917836,30.66132264529058,0.8673609405591505,0.5148159408416411
28548,0.09238124518010897,0.3278033828554605,53.607214428857716,79.45891783567134,96.59318637274549,63.426853707414836,0.7869674910352322,0.5169513363846443
28979,0.03840065417944462,0.14871923660547265,34.26853707414829,50.501002004008015,78.3567134268537,62.72545090180361,0.9747832860364378,0.6097115435016729
29018,-0.1456284205136677,0.3754422986129641,65.4308617234469,66.53306613226454,61.22244488977956,77.15430861723446,0.7742766370851324,0.41886580499813253
29179,0.05335125225747376,0.5482929124384281,79.95991983967936,92.78557114228457,98.79759519038076,98.99799599198397,0.4934793246159824,0.3750022777201418
